course_id,title,headline,category,course_level,published_date,last_updated,course_price,course_language,total_lectures,content_duration,closed_caption,practice_tests,instructors,num_subscribers,num_reviews,rating,url,is_translated,translated_language
2756550,Excel - praktyczny kurs,Przyspiesz swoją pracę i zarabiaj więcej.,productivity,Beginner Level,2020-02-04 06:34:00,2023-09-23 04:23:36,$ 221 USD,pl,40,7 total hours,False,0,['Norbert Waszak'],191,37,4.7399163,https://img-c.edtech.com/course/480x270/2756550_5e1a_2.jpg,Ys,"['en', 'hi']"
3723694,IGCSE Math 0580 Practice,Solving past paper exams,teaching,Intermediate Level,2020-10-02 08:25:48,2023-12-25 01:26:11,$ 257 USD,en,37,4.5 total hours,True,0,['Ahmad Ibrahim'],21,4,5.0,https://img-c.edtech.com/course/480x270/3723694_be70_6.jpg,YEs,"['zh', 'de', 'fr']"
610702,Minimalism and living 'the minimalist' lifestyle,"This is a guide to simplify your life, have less stress and more freedom and focus.",personal_development,All Levels,2020-09-22 19:35:09,2023-10-17 02:51:36,$ 190 USD,en,24,1 total hour,True,0,['Jelle Derckx'],1459,35,4.433092,https://img-c.edtech.com/course/480x270/610702_84f3_3.jpg,YEs,"['de', 'hi', 'fr']"
3511170,"Complete SEO Training, Step by Step SEO Course in Hindi/Urdu","SEO Audit, Keyword Research, OnPage SEO, Schema, Page Speed, GSC, Black Hat, Backlinks n more in Our Prof. SEO Course.",marketting,All Levels,2021-02-06 07:13:27,2023-01-15 14:04:11,$ 229 USD,en,187,30.5 total hours,False,0,['Udit Khanna'],234,43,4.5774894,https://img-b.edtech.com/course/480x270/3511170_72b2_5.jpg?secure=zA8uYazN_6q25bvqfiGJHw%3D%3D%2C1646828007,False,
129572,Learn PHP and MySQL for Beginners the Easy Way - 13 Hours,Learn PHP and MySQL and get ready to take your web development skills to the next level!,development,Beginner Level,2021-01-16 15:31:03,2023-01-23 11:02:44,$ 263 USD,en,85,12 total hours,True,0,['Simon Sez IT'],3996,37,3.987829,https://img-b.edtech.com/course/480x270/129572_7f0b_6.jpg?secure=bvbts8OkQxDtPzoHi0h7aA%3D%3D%2C1646822772,True,"['ja', 'ru']"
4018078,MOST USED SOLIDWORKS TOOLS BY STUDENTS &PROFESSIONALS,"LEARN 3D MODELING,SIMULATION,MESHING TOOLS IN SOLIDWORKS & PRACTICE TOOLS IN SOLIDWORKS",design,Intermediate Level,2020-02-02 08:48:14,2022-01-24 02:26:45,$ 174 USD,de,11,1.5 total hours,True,0,['Ashwin Kumar'],2,0,0.0,https://img-b.edtech.com/course/480x270/4018078_cd04.jpg?secure=M4Xq03PDgMIT038rAVGbQg%3D%3D%2C1646826710,NO,
4102954,Become A Notary,Learn 64 Notary terms and all of the Notary acts. See document examples. Learn what you can & cannot do as a Notary.,business,Beginner Level,2021-06-23 09:30:50,2023-09-09 12:27:36,$ 144 USD,en,27,41 total mins,False,0,['Lisa Sweeting'],103,46,4.513227,https://img-b.edtech.com/course/480x270/4102954_254f_2.jpg?secure=MxyyI0StJU0jcLzYtphoyg%3D%3D%2C1646823091,False,
245614,NCLEX Simplified: Master the Five Toughest Topics,"The easiest way to be prepared for NCLEX! Get in-depth knowledge of Endocrine, Maternity, Neonate, Pediatrics, and Drugs",teaching,Intermediate Level,2021-04-08 12:06:55,2023-08-21 13:46:21,$ 146 USD,en,70,4.5 total hours,True,0,['Lisa Chou'],420,70,4.843251,https://img-b.edtech.com/course/480x270/245614_7a6d_3.jpg?secure=XH7GdgyyDiw1dAcGMmogIw%3D%3D%2C1646830874,Yes,"['zh', 'ru', 'fr']"
1987136,Laravel - Restful API with Passport Authentication,Learn to create Restful API's and at the same time Authenticate them,development,Beginner Level,2021-03-11 08:15:43,2022-10-05 09:44:49,$ 132 USD,en,13,1.5 total hours,True,0,"['Edwin Diaz', 'Coding Faculty Solutions']",1348,100,4.563712,https://img-b.edtech.com/course/480x270/1987136_9a16.jpg?secure=nYcJPq5HOYykPWq6TJiqDg%3D%3D%2C1646822609,No,
1000966,Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords,Learn to Improvise with runs and fills on Misty in Eb Key using LH Ballad & Stride accompaniment. Apply 2-5 Power Chords,music,Expert Level,2021-07-15 04:50:38,2023-01-28 20:56:22,$ 133 USD,en,70,1.5 total hours,False,0,['Rosa Suen'],911,8,4.4102783,https://img-c.edtech.com/course/480x270/1000966_2522_4.jpg,False,
3443312,Mutual Fund Certification for NISM VA,100 Plus Questions on NISM VA Mutual Fund Certification Exam,finance,All Levels,2021-05-30 04:56:49,2023-07-05 23:26:34,$ 235 USD,en,0,120 questions,False,2,['Biswaroop Sen'],15,2,3.2424242,https://img-c.edtech.com/course/480x270/3443312_a077.jpg,No,
3325430,[2020] Erstelle Deinen verkaufsstarken Online-Shop!,Der ultimative Kurs um Dein eCommerce Business zu starten!,marketting,Beginner Level,2021-11-09 05:54:58,2023-11-27 08:09:31,$ 137 USD,de,18,4 total hours,False,0,['Fabian Reyer'],245,12,3.6293452,https://img-c.edtech.com/course/480x270/3325430_e007_4.jpg,Yes,"['en', 'hi']"
3611260,スマホ短篇映画のためのシナリオの書き方,スマートフォンで撮影し、短篇映画として完成させるためのシナリオの書き方にフォーカスした講座です,photography,Beginner Level,2020-01-05 14:20:31,2023-08-10 01:20:01,$ 240 USD,ja,22,1.5 total hours,False,0,['渡川 修一'],35,8,4.656675,https://img-c.edtech.com/course/480x270/3611260_3167.jpg,NO,
744702,Quick and Easy Guide to Microsoft Word,A Complete course to enhance your productivity with Microsoft Word,productivity,Beginner Level,2021-04-13 01:01:18,2022-07-21 04:03:38,$ 205 USD,en,55,4.5 total hours,True,0,['Eduonix Learning Solutions'],25,5,4.7151847,https://img-b.edtech.com/course/480x270/744702_ca29_2.jpg?secure=EN41mY_8ewhAow7K28ezpg%3D%3D%2C1646824989,NO,
4125054,日本一のドッグトレーナーの犬の育て方！「おすわり」や「まて」を教える前にやっておくべき事,全年齢対象！「おすわり」「待て」を教える前に。 「人懐っこい犬」「犬同士トラブルを起こさず交流を深められる犬」「一緒にカフェや旅行を楽しめる犬」「吠えたり噛んだりしない穏やかな犬」「社会の一員としてルールを守れる犬」を育てる事が出来ます,lifestyle,All Levels,2020-06-07 04:07:11,2023-03-02 02:55:08,$ 118 USD,ja,12,2.5 total hours,False,0,"['スーパーガールズ SGO', '細野 栄作']",401,68,4.294412,https://img-b.edtech.com/course/480x270/4125054_c64a.jpg?secure=-b1c5crxRFZIiXJMrbVMoA%3D%3D%2C1646829434,True,"['en', 'hi']"
3549346,MCIA- Mulesoft Certified Integration Architect course,Clear MCIA exam easily after taking this course,software,All Levels,2020-10-07 14:02:08,2022-04-27 13:51:50,$ 111 USD,en,30,10 total hours,True,0,"['Sivaprasad Valluru', 'Rajeswari Yambakam', 'Padmini Srimanthula']",2616,455,4.454091,https://img-c.edtech.com/course/480x270/3549346_e46a_3.jpg,Yes,"['es', 'ja']"
3290426,The Complete JavaScript Bootcamp for Beginners 2020 with ES6,Complete Javascript Tutorial For Beginners with 3 Real time Hands-On Projects,development,All Levels,2021-11-10 21:04:11,2023-08-07 11:02:44,$ 128 USD,en,70,12.5 total hours,False,0,['K.Sathyaprakash Reddy'],10778,123,4.720187,https://img-c.edtech.com/course/480x270/3290426_0f9c_2.jpg,Ys,"['ja', 'hi', 'ru']"
4042096,Accounting- Complete course - From Beginner to Advanced,Comprehensive course which covers all advanced topics related to accounting,finance,All Levels,2021-08-06 19:11:54,2022-11-23 01:53:08,$ 268 USD,en,161,49 total hours,True,0,['Akshata M'],175,24,4.5808215,https://img-c.edtech.com/course/480x270/4042096_828c.jpg,YEs,"['ja', 'hi', 'fr']"
1171326,Die Energie-Formel - Hol Dir mehr Kraft & Lebensfreude!,"Steigere signifikant Deine Energie-Level! Lass Stress, Schwäche, Kraftlosigkeit, Müdigkeit oder Erschöpfung hinter Dir!",health_fitness,All Levels,2020-06-20 05:45:54,2022-04-20 13:16:54,$ 100 USD,de,21,3 total hours,False,0,['Dr. Sebastian Heck'],790,65,4.701982,https://img-c.edtech.com/course/480x270/1171326_444d.jpg,YEs,"['en', 'hi']"
1652152,Web Design With Thrive Architect - Create A Complete Website,Amazing Tutorial On How To Use The Web Builder Thrive Architect To Build Your Own WordPress Website - No Coding Needed,business,All Levels,2020-10-14 11:10:42,2022-08-07 10:41:19,$ 229 USD,en,33,4 total hours,False,0,['Pastor Dre'],5836,55,4.3527575,https://img-b.edtech.com/course/480x270/1652152_7e14_2.jpg?secure=GZDTdhim_30KiYncATkiZg%3D%3D%2C1646823070,False,
703140,YouTube Masterclass - Your Complete Guide to YouTube,"Complete guide to starting a YouTube channel, getting more views & subscribers, and building a brand with videos!",marketting,All Levels,2020-02-29 08:56:02,2022-02-21 22:17:39,$ 233 USD,en,67,5.5 total hours,True,0,"['Phil Ebiner', 'Michael Moyer', 'Video School']",169910,9752,4.376352,https://img-c.edtech.com/course/480x270/703140_703a_4.jpg,False,
3928622,Les Secrets de Facebook Ads: Apprenez La Publicité en Ligne,Maîtriser Facebook Ads et Instagram Ads Rapidement Et Réussir Ses Campagnes Publicitaires Sans Beaucoup Dépenser,marketting,All Levels,2020-02-27 17:19:25,2022-02-15 01:53:31,$ 183 USD,fr,44,3 total hours,False,0,['David Michigan'],12,0,0.0,https://img-c.edtech.com/course/480x270/3928622_d85e_2.jpg,True,"['en', 'hi']"
3832002,Audioprogrammierung und Liveelektronik mit Pure Data,Realisierung von liveelektronischer Musik,music,Beginner Level,2021-01-01 17:33:32,2022-04-23 04:45:04,$ 166 USD,de,70,7.5 total hours,False,0,['Hannes Brugger'],23,2,5.0,https://img-b.edtech.com/course/480x270/3832002_09e2.jpg?secure=hWA3yKit6DjFu9Rafulsvw%3D%3D%2C1646830597,NO,
3027510,Creating a Theory of Change and Logic Model,"A management and communication tool to help you plan, monitor and evaluate more effectively.",business,Beginner Level,2021-01-05 00:06:40,2022-03-11 04:15:10,$ 211 USD,en,22,2 total hours,True,0,['Ruth Knight'],215,64,4.343016,https://img-c.edtech.com/course/480x270/3027510_1c76.jpg,YEs,"['es', 'ja', 'hi']"
8139,14-Day Yoga Detox and Empowerment Course,"Lose weight, get healthier and fit on all levels in just 14 days with Sadie Nardini",health_fitness,All Levels,2020-10-10 09:50:39,2024-01-11 12:52:19,$ 208 USD,en,31,19.5 total hours,True,0,['Sadie Nardini'],17138,605,4.7498326,https://img-c.edtech.com/course/480x270/8139_bbe5_11.jpg,NO,
